Date,Total Usage kWh,AverageTemperature
03/18/2023,10.996,43
03/19/2023,8.673,32
03/20/2023,6.798,40
03/21/2023,6.805,46
03/22/2023,6.638,52
03/23/2023,7.275,55
03/24/2023,11.557,49
03/25/2023,5.876,46
03/26/2023,6.948,50
03/27/2023,5.634,48
03/28/2023,9.903,46
03/29/2023,5.495,48
03/30/2023,8.534,39
03/31/2023,7.152,47
04/01/2023,5.392,60
04/02/2023,8.227,46
04/03/2023,6.671,50
04/04/2023,5.98,59
04/05/2023,10.631,63
04/06/2023,6.184,60
04/07/2023,7.674,52
04/08/2023,6.602,45
04/09/2023,9.282,47
04/10/2023,5.885,53
04/11/2023,5.717,61
04/12/2023,6.727,73
04/13/2023,6.015,71
04/14/2023,9.784,69
04/15/2023,5.544,66
04/16/2023,32.86,65
04/17/2023,12.16,58
04/18/2023,6.792,50
04/19/2023,7.013,52
04/20/2023,16.653,62
04/21/2023,8.638,66
04/22/2023,8.622,61
04/23/2023,4.932,54
04/24/2023,8.146,48
04/25/2023,12.727,48
04/26/2023,9.249,52
04/27/2023,9.132,56
04/28/2023,10.632,51
04/29/2023,5.525,54
04/30/2023,5.823,54
05/01/2023,5.005,52
05/02/2023,10.339,48
05/03/2023,6.765,46
05/04/2023,4.881,51
05/05/2023,6.417,55
05/06/2023,9.702,57
05/07/2023,6.488,60
05/08/2023,5.746,65
05/09/2023,7.35,64
05/10/2023,5.493,61
05/11/2023,7.056,64
05/12/2023,12.408,70
05/13/2023,9.647,66
05/14/2023,9.89,63
05/15/2023,8.472,63
05/16/2023,6.514,67
05/17/2023,6.315,60
05/18/2023,10.786,56
05/19/2023,7.028,62
05/20/2023,5.97,64
05/21/2023,4.546,66
05/22/2023,8.719,67
05/23/2023,6.798,67
05/24/2023,5.842,67
05/25/2023,8.469,60
05/26/2023,6.425,63
05/27/2023,6.265,66
05/28/2023,6.653,67
05/29/2023,4.894,72
05/30/2023,10.844,68
05/31/2023,6.364,68
06/01/2023,13.754,72
06/02/2023,18.766,78
06/03/2023,24.15,75
06/04/2023,11.58,67
06/05/2023,6.093,67
06/06/2023,11.561,69
06/07/2023,16.096,66
06/08/2023,6.618,64
06/09/2023,4.297,64
06/10/2023,6.788,69
06/11/2023,16.189,74
06/12/2023,27.865,71
06/13/2023,14.98,67
06/14/2023,5.595,65
06/15/2023,8.497,68
06/16/2023,8.879,65
06/17/2023,20.554,71
06/18/2023,12.003,72
06/19/2023,18.263,75
06/20/2023,16.048,73
06/21/2023,12.464,66
06/22/2023,4.67,62
06/23/2023,7.985,68
06/24/2023,16.344,74
06/25/2023,18.453,76
06/26/2023,32.788,76
06/27/2023,12.257,72
06/28/2023,11.405,71
06/29/2023,14.022,72
06/30/2023,19.342,74
07/01/2023,24.413,75
07/02/2023,19.083,78
07/03/2023,21.398,76
07/04/2023,24.155,80
07/05/2023,32.781,82
07/06/2023,33.429,81
07/07/2023,27.374,79
07/08/2023,25.447,80
07/09/2023,19.83,73
07/10/2023,15.27,75
07/11/2023,25.065,77
07/12/2023,27.131,79
07/13/2023,29.187,82
07/14/2023,27.955,81
07/15/2023,30.123,80
07/16/2023,27.308,78
07/17/2023,24.604,79
07/18/2023,21.028,76
07/19/2023,15.862,78
07/20/2023,16.857,79
07/21/2023,14.616,74
07/22/2023,17.645,75
07/23/2023,19.568,77
07/24/2023,19.255,77
07/25/2023,18.176,74
07/26/2023,19.171,78
07/27/2023,26.699,83
07/28/2023,31.985,82
07/29/2023,23.746,80
07/30/2023,12.453,75
07/31/2023,15.728,75
08/01/2023,12.744,72
08/02/2023,23.957,72
08/03/2023,22.553,74
08/04/2023,16.673,73
08/05/2023,23.201,76
08/06/2023,28.436,78
08/07/2023,21.376,77
08/08/2023,17.041,75
08/09/2023,19.404,77
08/10/2023,13.84,73
08/11/2023,16.038,76
08/12/2023,25.23,77
08/13/2023,24.747,77
08/14/2023,19.872,76
08/15/2023,26.399,79
08/16/2023,17.635,76
08/17/2023,24.68,77
08/18/2023,23.208,74
08/19/2023,9.499,71
08/20/2023,14.691,73
08/21/2023,27.387,77
08/22/2023,14.589,74
08/23/2023,14.194,71
08/24/2023,11.663,73
08/25/2023,24.912,77
08/26/2023,20.816,78
08/27/2023,22.183,76
08/28/2023,13.169,74
08/29/2023,18.168,73
08/30/2023,21.867,76
08/31/2023,8.53,69
09/01/2023,12.9,68
09/02/2023,19.649,71
09/03/2023,25.763,79
09/04/2023,35.894,84
09/05/2023,34.122,83
09/06/2023,33.905,83
09/07/2023,26.734,77
09/08/2023,22.046,75
09/09/2023,18.846,77
09/10/2023,12.426,73
09/11/2023,15.034,74
09/12/2023,26.947,74
09/13/2023,17.388,72
09/14/2023,15.594,68
09/15/2023,9.449,65
09/16/2023,8.888,65
09/17/2023,21.403,60
09/18/2023,9.732,66
09/19/2023,7.499,65
09/20/2023,7.624,64
09/21/2023,8.17,64
09/22/2023,9.715,63
09/23/2023,11.682,59
09/24/2023,8.009,62
09/25/2023,8.584,62
09/26/2023,10.188,58
09/27/2023,11.178,60
09/28/2023,9.154,59
09/29/2023,8.477,62
09/30/2023,7.824,67
10/01/2023,11.358,68
10/02/2023,7.116,68
10/03/2023,7.14,69
10/04/2023,21.306,70
10/05/2023,31.909,67
10/06/2023,16.815,71
10/07/2023,12.44,61
10/08/2023,17.404,54
10/09/2023,9.431,53
10/10/2023,9.925,55
10/11/2023,8.346,56
10/12/2023,11.712,58
10/13/2023,7.808,57
10/14/2023,13.878,50
10/15/2023,8.902,52
10/16/2023,9.59,54
10/17/2023,12.129,54
10/18/2023,10.17,54
10/19/2023,8.842,56
10/20/2023,10.276,61
10/21/2023,8.603,58
10/22/2023,11.613,55
10/23/2023,16.529,50
10/24/2023,10.021,52
10/25/2023,8.953,56
10/26/2023,8.09,60
10/27/2023,10.18,63
10/28/2023,8.205,69
10/29/2023,9.925,59
10/30/2023,13.452,55
10/31/2023,11.801,46
11/01/2023,11.212,42
11/02/2023,11.142,42
11/03/2023,14.064,45
11/04/2023,10.662,48
11/05/2023,11.241,53
11/06/2023,11.808,51
11/07/2023,15.512,59
11/08/2023,9.529,50
11/09/2023,9.988,53
11/10/2023,9.525,48
11/11/2023,9.18,46
11/12/2023,9.393,40
11/13/2023,9.282,40
11/14/2023,11.399,46
11/15/2023,9.304,45
11/16/2023,12.581,47
11/17/2023,9.012,52
11/18/2023,8.782,49
11/19/2023,9.546,45
11/20/2023,10.942,40
11/21/2023,10.589,40
11/22/2023,9.804,50
11/23/2023,13.186,48
11/24/2023,13.853,44
11/25/2023,13.125,34
11/26/2023,11.827,39
11/27/2023,10.604,40
11/28/2023,11.276,33
11/29/2023,13.674,30
11/30/2023,11.446,37
12/01/2023,9.309,37
12/02/2023,9.278,44
12/03/2023,11.164,49
12/04/2023,12.38,45
12/05/2023,10.398,41
12/06/2023,12.169,38
12/07/2023,10.97,37
12/08/2023,12.211,39
12/09/2023,12.833,39
12/10/2023,9.55,43
12/11/2023,10.671,40
12/12/2023,10.229,39
12/13/2023,10.449,37
12/14/2023,10.183,34
12/15/2023,9.694,40
12/16/2023,10.239,40
12/17/2023,13.811,48
12/18/2023,10.379,48
12/19/2023,10.751,37
12/20/2023,10.588,35
12/21/2023,13.389,39
12/22/2023,11.114,36
12/23/2023,11.089,40
12/24/2023,9.407,43
12/25/2023,9.373,44
12/26/2023,9.565,44
12/27/2023,13.733,48
12/28/2023,9.256,51
12/29/2023,10.108,46
12/30/2023,10.695,42
12/31/2023,9.989,42
01/01/2024,13.471,39
01/02/2024,11.453,38
01/03/2024,10.06,37
01/04/2024,13.204,37
01/05/2024,14.524,32
01/06/2024,11.225,31
01/07/2024,10.04,38
01/08/2024,10.882,39
01/09/2024,13.201,42
01/10/2024,10.444,47
01/11/2024,10.475,44
01/12/2024,6.967,39
01/13/2024,5.054,43
01/14/2024,7.806,33
01/15/2024,8.577,26
01/16/2024,10.878,25
01/17/2024,13.589,21
01/18/2024,9.398,25
01/19/2024,8.701,27
01/20/2024,10.606,21
01/21/2024,11.08,27
01/22/2024,12.684,27
01/23/2024,7.47,35
01/24/2024,7.23,38
01/25/2024,6.404,42
01/26/2024,11.706,47
01/27/2024,6.611,45
01/28/2024,8.163,41
01/29/2024,9.339,40
01/30/2024,10.399,37
01/31/2024,7.61,37
02/01/2024,8.175,41
02/02/2024,7.212,42
02/03/2024,7.726,39
02/04/2024,7.601,36
02/05/2024,10.336,35
02/06/2024,9.386,33
02/07/2024,7.786,35
02/08/2024,8.534,40
02/09/2024,6.72,44
02/10/2024,6.243,45
02/11/2024,12.886,46
02/12/2024,6.787,42
02/13/2024,11.301,38
02/14/2024,18.784,35
02/15/2024,8.951,33
02/16/2024,8.077,39
02/17/2024,8.15,32
02/18/2024,11.422,33
02/19/2024,9.041,35
02/20/2024,11.852,33
02/21/2024,7.779,35
02/22/2024,8.637,37
02/23/2024,12.695,41
02/24/2024,7.573,37
02/25/2024,8.94,33
02/26/2024,7.794,42
02/27/2024,7.068,47
02/28/2024,6.545,54
02/29/2024,9.634,36
03/01/2024,11.156,38
03/02/2024,7.044,42
03/03/2024,6.024,49
03/04/2024,6.231,54
03/05/2024,6.31,49
03/06/2024,5.169,51
03/07/2024,5.543,53
03/08/2024,6.222,48
03/09/2024,11.224,42
03/10/2024,7.493,41
03/11/2024,13.105,44
03/12/2024,6.553,54
03/13/2024,6.761,54
03/14/2024,9.641,58
03/15/2024,8.116,58
03/16/2024,6.309,52
03/17/2024,6.429,54
03/18/2024,9.738,41
03/19/2024,8.271,41
03/20/2024,7.883,46
03/21/2024,12.192,36
03/22/2024,7.227,38
03/23/2024,8.105,39
03/24/2024,7.106,37
03/25/2024,6.997,42
03/26/2024,6.168,46
03/27/2024,6.955,46
03/28/2024,9.847,48
03/29/2024,7.655,48
03/30/2024,6.513,48
03/31/2024,6.394,51
04/01/2024,6.447,50
04/02/2024,7.137,48
04/03/2024,9.672,45
04/04/2024,6.968,45
04/05/2024,7.826,44
04/06/2024,6.964,48
04/07/2024,6.093,52
04/08/2024,9.616,51
04/09/2024,10.325,60
04/10/2024,5.852,62
04/11/2024,5.648,64
04/12/2024,6.694,60
04/13/2024,8.629,54
04/14/2024,7.99,62
04/15/2024,10.553,68
04/16/2024,9.322,61
04/17/2024,9.534,61
04/18/2024,14.048,56
04/19/2024,8.353,51
04/20/2024,8.18,57
04/21/2024,10.113,46
04/22/2024,9.433,51
04/23/2024,9.124,55
04/24/2024,13.752,58
04/25/2024,10.272,50
04/26/2024,10.577,53
04/27/2024,8.993,52
04/28/2024,7.83,64
04/29/2024,7.585,74
04/30/2024,26.829,72
05/01/2024,35.079,70
05/02/2024,28.893,73
05/03/2024,8.652,66
05/04/2024,5.021,52
05/05/2024,4.425,53
05/06/2024,10.063,62
05/07/2024,5.958,69
05/08/2024,30.994,74
05/09/2024,20.63,62
05/10/2024,4.772,52
05/11/2024,5.286,54
05/12/2024,4.591,53
05/13/2024,4.643,63
05/14/2024,9.617,62
05/15/2024,7.181,62
05/16/2024,17.303,66
05/17/2024,7.163,64
05/18/2024,6.847,63
05/19/2024,8.152,68
05/20/2024,12.786,68
05/21/2024,26.947,73
05/22/2024,18.749,76
05/23/2024,18.09,74
05/24/2024,11.445,75
05/25/2024,15.188,72
05/26/2024,14.191,74
05/27/2024,20.289,74
05/28/2024,18.864,72
05/29/2024,13.002,65
05/30/2024,11.141,64
05/31/2024,4.897,64
06/01/2024,7.672,69
06/02/2024,11.696,70
06/03/2024,16.425,74
06/04/2024,28.58,77
06/05/2024,21.509,73
06/06/2024,27.722,77
06/07/2024,14.666,74
06/08/2024,9.948,71
06/09/2024,9.005,72
06/10/2024,6.579,68
06/11/2024,17.162,64
06/12/2024,14.344,69
06/13/2024,23.074,76
06/14/2024,18.783,75
06/15/2024,13.164,73
06/16/2024,12.241,73
06/17/2024,25.092,81
06/18/2024,22.828,83
06/19/2024,20.345,82
06/20/2024,33.993,82
06/21/2024,33.141,86
06/22/2024,33.561,85
06/23/2024,28.275,85
06/24/2024,21.86,78
06/25/2024,28.267,78
06/26/2024,34.422,80
06/27/2024,32.258,76
06/28/2024,17.93,73
06/29/2024,24.216,77
06/30/2024,29.089,81
07/01/2024,12.758,69
07/02/2024,24.669,73
07/03/2024,31.624,78
07/04/2024,29.816,81
07/05/2024,29.147,84
07/06/2024,34.062,86
07/07/2024,28.084,84
07/08/2024,35.825,84
07/09/2024,40.647,86
07/10/2024,43.317,87
07/11/2024,26.225,78
07/12/2024,18.969,75
07/13/2024,33.537,82
07/14/2024,38.154,85
07/15/2024,25.612,86
07/16/2024,34.364,87
07/17/2024,28.021,83
07/18/2024,26.661,78
07/19/2024,20.883,76
07/20/2024,19.986,78
07/21/2024,24.79,81
07/22/2024,20.12,75
07/23/2024,22.769,78
07/24/2024,34.446,80
07/25/2024,21,79
07/26/2024,18.969,76
07/27/2024,24.952,76
07/28/2024,22.08,77
07/29/2024,20.661,79
07/30/2024,34.037,79
07/31/2024,30.429,81
08/01/2024,30.745,80
08/02/2024,28.311,83
08/03/2024,23.102,79
08/04/2024,23.438,80
08/05/2024,25.612,82
08/06/2024,32.736,80
08/07/2024,17.99,72
08/08/2024,22.436,71
08/09/2024,20.275,77
08/10/2024,17.498,74
08/11/2024,13.827,71
08/12/2024,15.279,71
08/13/2024,23.986,71
08/14/2024,24.728,73
08/15/2024,25.866,73
08/16/2024,18.759,75
08/17/2024,19.505,74
08/18/2024,18.169,74
08/19/2024,19.416,71
08/20/2024,15.665,64
