Name,URL,Description,Price,Process Method,Total Score,Cultivar,Farm Gate,Region,Processing,Drying Method,Arrival Date,Lot Size,Bag Size,Packaging,Cultivar Detail,Grade,Appearance,Roast Recommendations,Type,Farm Notes,Latitude,Longitude,DryFragrance,WetAroma,Brightness,FlavorCup,CupBody,Finish,Sweetness,CleanCup,Complexity,Uniformity,Floral,Honey,Sugar,Caramel,Fruit,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,FlavorBody
Rwanda Dry Process Nyamiyaga,https://www.sweetmarias.com/rwanda-dry-process-nyamiyaga-7850.html,"There's a fruited profile to be found, light roasts brought out flavors of rustic apricot jam, blueberry filling, hints of zesty orange peel, with almond and dark cocoa in the finish. Big body and all roast levels. City to Full City+.",7.35,Dry Process (Natural),89.4,Bourbon Types,Yes,"Nyamiyaga, Ngoma, Kamonyi",Dry Process (Natural),Raised Bed Sun-Dried,December 2023 Arrival,16,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"The Nyamiyaga station is located in Nyamiyaga town, within the Kamonyi District of Rwanda's Southern Province. The coffee washing station serves almost 3000 farmers in the surrounding villages, most with less than 1 hectare of coffee. At just under 1500 meters, the milling site is at a much lower altitude than most of the coffee that comes in, many of the farms reaching above the 1800 meter mark. The station employs many grading techniques to separate out the top quality coffee, starting with the whole coffee cherry being submerged in tanks of water, and removing the low density coffee that floats to the top. The dry process coffee is then moved to raised drying tables where it will dry over the course of a few weeks. During this time, the cherry is turned by hand, and the workers continue to remove any coffee with physical defects they find along the way. All this care and attention results in a very uniform coffee for dry process, making it much easier to roast, as well as a very consistent brew.",-2.068331,29.905654,8.7,8.9,0,9.0,9.2,8.0,8.8,8.0,9.3,8.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,4.0,1.5,2.0,1.0,4.0
Rwanda Gitwe Peaberry,https://www.sweetmarias.com/rwanda-gitwe-peaberry-7867.html,"Complex spiced cup profile, with aromatic notes of cinnamon spiced raw sugars and cola, deeply sweet, with kumquat and dark berry accents, and a finishing note like a long-steeped English Breakfast tea. City to City+.",7.20,Wet Process (Washed),89.1,Bourbon Types,Yes,"Nyamasheke, Western Province",Wet Process (Washed),Raised Bed Sun-Dried,January 2024 Arrival,30,60 KG,GrainPro Liner,Bourbon,A1,".4 d/300gr, 15 Peaberry Screen",City to City+,Farm Gate,"Gitwe is a relatively newer washing station in Rwanda's southern Nyamasheke District. Gitwe sits at roughly 1800 meters above sea level, and the farms of the 800 outgrowers who deliver their coffee to Gitwe are situated between 1800 and 2000 meters. This is a fully washed/wet process coffee, meaning that after the coffee cherry is removed from the seed, the remaining sticky fruit layer (mucilage) is removed by fermenting in a tank for several hours. Gitwe has several cement fermentation tanks, and should have no problem moving coffee through to the drying tables during the peak of the harvest. We were a little surprised by how deep the tanks are, and slightly worried that it might affect the coffee during fermentation. But after cupping a handful of samples, we were pleased with the resulting clean cups across the board. This is the peaberry selection, which are the small, nearly perfectly round beans. Peaberries occur when one of the two seeds inside the cherry fails to germinate. The remaining single coffee bean continues to mature, taking on the round shape of the cherry, rather than flattening out on one side. Pretty much every coffee shrub produces a few peaberries, and make up about 3% of the total yield. I roasted Gitwe to light and medium roast levels, and found that Full City roasting flattens out acidity too much for my taste, and mutes complex top notes found at City and City+.",-2.977179,29.648844,8.7,8.9,0,9.0,8.7,9.0,9.0,9.0,9.0,8.5,0.0,0.0,4.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,3.5
Rwanda Honey Process Kibirizi,https://www.sweetmarias.com/rwanda-honey-process-kibirizi-7848.html,"A fruited honey process coffee from Rwanda, with juicy mouthfeel that props up impressions of stone fruits, pear jam, and berry juice, along with rustic sugars, and balanced bittersweets. City to Full City+. Good for espresso.",7.50,Honey Process,88.6,Bourbon Types,Yes,"Kibirizi Village, Nyamagabe",Honey Process,Raised Bed Sun-Dried,December 2023 Arrival,50,60 KG,GrainPro Liner,Bourbon,A1,".6 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"Kibirizi is the name of the town this coffee comes from, as well as the coffee washing station where it was processed (""CWS""). The wet mill sits at 1770 meters above sea level, and is buying cherry from small holder farmers in the surrounding villages of Nyamagabe. Most farmers have less than 1 hectare of coffee planted in Bourbon, as is largely the case for Rwanda. Kibirizi CWS does many different types of processing, including honey. The honey process involves depulping the outer cherry, but leaving some of the fruit intact to the seed. Unlike the wet process method, the green seeds bypass a fermentation/washing step, going straight to the raised beds to dry. While not always true, honey processing can bring fruit flavors to the cup, which was what we tasted in this coffee. It also produces a high instance of chaff, which is normal for honeys. Just make sure to vacuum your roaster in between batches.",-2.435454,29.561513,8.7,8.9,0,9.0,9.2,8.7,8.7,8.5,9.2,8.5,0.0,0.0,3.0,0.0,2.5,0.0,2.5,4.0,0.0,0.5,0.0,4.0
Rwanda Karongi Gitesi,https://www.sweetmarias.com/rwanda-karongi-gitesi-7838.html,"Elegant pour over brew, with refined flavor profiles and tea-like acidity. Notes of strong-steeped English Breakfast tea, mild fruit accents, lemon zest, and sweet overlay of sugar cane juice. City to Full City. Good for espresso.",7.35,Wet Process (Washed),89.3,Bourbon Types,Yes,Karongi,Wet Process (Washed),Raised Bed Sun Dried,December 2023 Arrival,20,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15-17 Screen",City to Full City,Farm Gate,"Gitesi is one of my favorite sites in Rwanda. Not only is it located in a beautiful valley, but the washing station is always so clean, well-organized and the leaders seemed motivated and competent. I had already cupped quite a few day lots (wet-process batches from coffee cherry received in a single day) and I knew the coffee was really good from the previous years we purchased this coffee. The Gitesi site is at 1740 meters, actually one of the lower areas surrounded by high ridges ranging up to 2000 meters where coffee is grown. More than 1,800 coffee farmers in the area supply Gitesi with cherries each year. The station fosters a relationship with the farmers by paying an additional dividend at the end of each season based on performance. Gitesi was started in 2005 and has been building capacity with each passing harvest. Like much of Rwanda, the coffee is Bourbon variety. We ""built"" this lot by looking at all their day lot batches and combining the best ones. We found some excellent process batches from the middle harvest. Gitesi has earned top placement at COE (""Cup of Excellence"") more than once, and  continues to produce competition level coffees.",-2.074332,29.350340,8.7,9.0,0,9.0,8.5,9.0,8.9,9.0,8.9,8.5,0.0,0.0,4.0,0.0,1.5,1.5,1.0,2.5,0.0,0.0,2.0,3.5
Rwanda Ngororero,https://www.sweetmarias.com/rwanda-ngororero-7844.html,"Well-developed sweetness, subtle aromatic top notes, honey, toasted sugars, dashes of spice and tea, hints of fruit and a tangy acidic impression. Nice dark roasts too. City to Full City+. Good for espresso.",6.95,Wet Process (Washed),89.6,Bourbon Types,Yes,"Ngororero Town, Ngororero District",Wet Process (Washed),Raised Bed Sun-Dried,December 2023 Arrival,40,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"Ngoroero is a coffee processing site in Ngororero town, with the District Ngororero. That's a lot of 'Ngororero'! The wet mill are producing mostly fully washed, wet process coffee at this site, but also process a nominal amount of honey and natural process too. Hundreds of farmers in the region deliver their cherry to the site where floatation and hand sorting are first employed in order to begin the grading process. The whole cherry is then run through the de-pulping equipment, fermented in water-filled tanks overnight, then laid to dry on raised African coffee drying beds for upwards 2 weeks. Bourbon is the dominant cultivar in this region and farmers delivering to Ngororero are scattered across an altitude range of 1600 to 2000 meters above sea level. Their coffee is what we often think of as a quintessential Rwandan cup, with impressive sweetness that's spiced in aroma, with ample acidity behind it.",-1.867344,29.630934,9.0,9.0,0,9.0,8.8,9.0,9.0,9.0,9.0,8.5,0.0,2.0,4.0,2.0,1.5,0.0,1.0,3.0,0.0,0.0,2.0,4.0
Rwanda Nyamasheke Mutovu,https://www.sweetmarias.com/rwanda-nyamasheke-mutovu-7839.html,"Cup sweetness and well-integrated acidity are a major strength in Mutovu's cup. Pancake syrup, dried currant, tangy lemon, tannic black tea, burnt caramel, contrasting chocolate roast flavors. City+ to Full City+. Good for espresso.",7.60,Wet Process (Washed),88.2,Bourbon Types,Yes,"Nyamasheke, Western Province",Wet Process (Washed),Raised Bed Sun Dried,December 2023 Arrival,45,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,"The Mutovu coffee station was established as a in 2012 in Nyamasheke area of Western Rwanda. It is in an ideal area for growing coffee with rich soils, and with so many small holder coffee farmers, it's also a central location for a coffee washing station. The wet mill isits at 1800 meters, with coffee being grown in the area up to 1950 meters. Mutovu Coffee is fairly small compared to many of the other coops and washing stations we buy from, estimated output this year at 2 containers of coffee (roughly 85,000 lbs of milled coffee - twice the amount from when they started). Each farmer supplies their own cherries to the station, as well as collects cherries from their neighbors. We have been buying Mutovu every year since they were established, as well as visiting the coop on every trip to Rwanda we make. Each year we're seeing improvements at the mill, last year's included upgraded milling equipment, new drying beds and a brand new warehouse to better store their parchment coffee. They received CAFE Practices certification too, part of which which means they are separating process batches by day of delivery, a first step in identifying different levels of quality.",-2.977179,29.648844,8.5,8.7,0,9.0,9.0,8.5,9.0,8.3,8.9,8.5,0.0,2.0,4.0,1.5,2.0,2.0,0.0,4.0,0.0,0.5,2.0,4.0
Rwanda Nyamasheke Nyaco,https://www.sweetmarias.com/rwanda-nyamasheke-nyaco-7845.html,"Sweetness marked by natural sugars with molasses, cinnamon powder, with notes of Sencha black tea and lemon that bring out a snappy acidity, and tannic bittering elements in the aftertaste. City to Full City+. Good for espresso.",6.75,Wet Process (Washed),88,Bourbon Types,Yes,"Nyamasheke, Western Province",Wet Process (Washed),Raised Bed Sun Dried,December 2023 Arrival,20,60 KG,GrainPro Liner,Bourbon,A1,".4 d/300gr, 15-17 screen",City to Full City+,Farm Gate,"Nyaco is a newer source for us in the Nyamasheke region that we visited last harvest when on a Rwanda trip. It was being leased by an intermediary we work with in this region for a few years before eventually buying it. Last year was their first year milling their own coffee, and while there were some challenges, they managed to process a nominal amount of coffee. They promoted a station worker from another wet mill to run Nyaco, who showed a strong understanding of operations. It's nice to see that type of promotion happening from within. The mill is situated at 1700 meters bove sea level, and coffee is likely growing as high as 1900 meters. Oh, and Nyaco is pronounced ""Nacho"", which makes it easy for me to remember! This 20 bag lot cupped in line with others we buy from in this region, like nearby Gitwe, for example. It shows well-developed sweetness across a range of roasts, and is moderately complex, bright, when kept to the light side.",-2.336262,29.224631,8.7,8.5,0,8.6,8.7,8.4,8.8,8.2,8.8,8.5,0.5,0.0,4.0,2.0,1.5,2.0,0.0,3.0,0.0,1.0,2.5,3.5
Rwanda Rulindo Tumba,https://www.sweetmarias.com/rwanda-rulindo-tumba-7835.html,"Tumba is abundantly sweet with flavors of honey and caramelized sugar, accented by hints of pomegranate, Earl Grey, raspberry lemonade, whole spices, and brisk black tea. City to Full City+. Good for espresso.",7.40,Wet Process (Washed),90.2,Bourbon Types,Yes,"Tumba Town, Rulindo District, Northern Province",Wet Process (Washed),Raised Bed Sun Dried,December 2023 Arrival,80,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"The coffee from Tumba washing station wason my radar for years before we first bought it almost a decade ago. When I first tasted it, the sweetness and bright acidic snap in the cup made a great impression. But at the time I noticed varied quality from one cup to the next, and a lack of consistency can mean problems in the processing. For a coffee buyer, it signifies that what you taste now might not be what you get upon importation. The backstory at the time was Tumba Station was a private processing wet mill that had 2 owners with very different ideas of quality and how to run a mill. Fast forward a few years, and we found ourselves purchasing Tumba for the first time under a very different light. A local teacher in the Tumba area for which the mill is named, had taken over all aspects, and the coffee was consistent in every cup ... and amazingly good! Venustre Mugraneza, the teacher, is esteemed in the local community and has been systematically improving the mill. The best coffee cherries (those that make up this lot) are dried in a special area of raised beds and receive focused handpicking by the farmers. Tumba is situated at 1825 meters in the Rulindo district, where we've also sourced the excellent Cocatu Cooperative lots.",-1.688793,29.940309,9.0,9.0,0,9.1,8.6,9.0,9.0,9.0,9.1,8.5,0.5,3.0,3.5,2.0,2.0,2.0,2.0,3.0,0.0,0.0,2.5,3.5
Tanzania Dry Process Acacia Hills AB,https://www.sweetmarias.com/tanzania-dry-process-acacia-hills-ab-7896.html,"A wild and wooly natural weighted in rustic sweetness and fruit accents. Approachable bittersweetness is followed by notes of mollases, dried fruit, sticky fig, and an oaky aromatic hint of a barrel-aged coffee. City+ to Full City+.",8.45,Dry Process (Natural),87.8,Bourbon Types,Yes,"Oldeani, Karatu",Dry Process (Natural),Raised Bed Sun-Dried,May 2024 Arrival,22,60 KG,GrainPro Liner,"Bourbon, Kent",AB,".6 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,"The Acacia Hills coffee estates is located on the southeastern side of the picturesque Mount Oldeani, a volcano that hugs the edge of Ngororero Conservation aera. Topping out around 1900 meters above sea level, Acacia Hills estate is supposedly the highest altitude coffee farm in this region. The estate was established in the 1960's, but coffee has been growing here much longer. Coffee was initially planted here by a group of Germans in the 1930's, a vestige of colonialist settlements in the region. In 2007, the farm was purchased as a joint venture by local Tanzanian coffee farmers, Leon and Aideen Christianakis, and a coffee roaster in Portland, Mark Stell. Since taking ownership, the group has focused on improving the quality through farm renovation, new plantings, soil analysis, and refining the post harvest processes. This is a dry process coffee, which means the seeds are dried with the cherry still intact. This can lead to fruity flavors in the cup, and characteristics like body, and low levels of acidity. This lot displayed lots of rustic fruits in our assessment, and with very nice bittersweetness that makes it well-suited for middle to dark roast levels.",-3.382059,35.468724,8.3,8.5,0,8.5,9.0,8.0,8.8,7.5,9.4,8.5,0.0,0.0,3.5,2.0,3.0,0.0,2.5,3.0,0.0,2.5,1.0,4.0
Tanzania Mbozi Ilomba AA,https://www.sweetmarias.com/tanzania-mbozi-ilomba-aa-7895.html,"Light roasts yield malty sweetness, like brown ale, with bracing acidity, high toned citrus notes, baking spice aroma, and a pleasantly bittering aspect in the finish that hints at grapefruit, and tannic tea. City to Full City.",6.95,Wet Process (Washed),88,Bourbon Types,Yes,"Ilomba Village, Mbeya, Mbozi",Wet Process (Washed),Raised Bed Sun Dried,May 2024 Arrival,50,60 KG,GrainPro Liner,"Bourbon, Kent, Typica",AA,".2 d/300gr, 15-17 Screen",City to Full City,Farm Gate,"Ilomba is a coffee cooperative located in the Mbozi District of Tanzania, near Iluya town. While they've been around since 1997, they didn't attain cooperative status in 2006, through the help of an NGO. Cooperative members receive assistance, like agronomical support, and are a part of the governing body. At this time, Ilomba only produces fully washed coffee where they see value in the cup quality (and so do we!). Coffee cherry is floated for grade separation before being processed, where unripe coffee floats to the top and is removed. They use a water conserving eco-pulper to remove the outer cherry, and then ferment the coffee for 1-2 days in order to break down the sticky fruit mucilage. The coffee is then washed in channels using clean water, and transported to the raised drying tables, where it takes about 2 weeks to fully dry. The station is at 1700 meters, and coffee is grown up to 1900 meters. Farms are typically less than 2 hectares in size, and farmers are growing Bourbon, Kent, and Typica.",-9.164973,33.205460,8.6,8.8,0,8.8,8.3,8.5,8.5,8.3,9.0,8.5,0.0,0.0,3.0,2.0,2.5,2.5,0.0,3.0,1.0,0.5,1.0,3.0
Tanzania Mbozi Kanji Lalji Farm,https://www.sweetmarias.com/tanzania-mbozi-kanji-lalji-farm-7898.html,"Malty-sweet notes and a nice acidic backbone leave a lasting impression in the cup. Unrefined sugars, caramelized sweetness, lemon-lime, honey, golden date, and cedar. City to Full City.",5.95,Wet Process (Washed),87.6,Bourbon Types,Yes,"Vwawa, Igamba, Mbozi",Wet Process (Washed),Raised Bed Sun-Dried,May 2024 Arrival,50,60 KG,GrainPro Liner,Bourbon,AB,".4 d/300gr, 15-17 Screen",City to Full City,Farm Gate,"We're offering this new arrival at a discounted price in order to help promote the coffees of Tanzania, an origin that's often overlooked. Why it's not a go-to East African coffee is a complicated question, but it just doesn't grab the same level of attention as neighboring Kenya, (or Burundi and Rwanda for that matter), and it should! Tanzanian coffee can fruited, bright, and just as complex as those in surrounding countries. The coffees of Kanji Lalji are a good example of this. Kanji Lalji is a larger farm owned by a family of the same name, located near Vwawa town in the Igamba district. While our other Tanzania coffees come from smallholders that form cooperative groups, Kanji Lalji is in a different position. The farm has an experienced agronomist, Eliot Swila (photo holding the baby coffee plant), who oversees their unique grafting method to bind the variety called Nylon locally (N39a, a Bourbon type) to drought-resistant Mbozi Compact roots. It's not high-tech in any way, but its beyond the means of the small-holder farmer. And in fact Kanji Lalji does this in a test plot for the government that will ultimately be shared with all farmers if it proves viable to face the seasonal lack of water in the area. All of that is a bit of a fascinating footnote: the lots we selected from Kanji Lalji are from their oldest trees, which are the original Mbozi Mission Bourbon variety. The farm has been managed for decades by Willy, a real character; a 79 year old Swiss expat, sparing in words, but clearly a man with a depth of coffee farming experience that shows in everything he does at Kanji Lalji farm.",-9.114011,32.955774,8.3,8.6,0,8.5,8.5,8.0,8.5,8.2,9.0,8.5,0.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,3.5
Tanzania Mbozi Lukululu Peaberry,https://www.sweetmarias.com/tanzania-mbozi-lukululu-peaberry-7894.html,"City+ has been my preferred roast for brewing, the cup mouth refreshing and sweet, with a bright backbone of acidity. Notes of cooked sugar, malty accents, lemon glaze, fruit tea, and powdered spices. City to Full City.",7.45,Wet Process (Washed),88.7,Bourbon Types,No,"Lukululu town, Mlangali, Songwe, Mbozi District",Wet Process (Washed),Raised Bed Sun-Dried,April 2024 Arrival,25,60 KG,GrainPro Liner,Bourbon,Peaberry,".4 d/300gr, 15-17 Screen",City to Full City,Farm Gate,"Lukulu is the name of the  is a coffee cooperative located in the Mbozi District of Tanzania, near Lukululu village. Cooperative members receive assistance, like agronomical support, and are a part of the governing body. The cooperative is still a very small operation, producing fully washed coffee using a small hand-crank depulper, with hopes of reinvesting in new machinery for next harvest. Coffee cherry is floated for grade separation before being processed, where unripe coffee floats to the top and is removed. After depulping the outer cherry, the coffee is fermented for 1-2 days in order to break down the sticky fruit mucilage. The remaining fruit is then washed away in channels using clean water, and transported to the raised drying tables, where it takes about 2 weeks to fully dry. They are buying cherry from several of the surrounding villages that cover an altitude range of 1500 to 1700 meters above sea level. Farms are typically less than 2 hectares in size, and farmers are growing mostly Bourbon types.",-9.164973,33.205460,8.7,9.0,0,9.0,8.5,8.3,8.7,8.3,9.2,9.0,0.0,2.0,3.5,1.0,2.5,2.5,1.0,2.0,0.0,1.5,2.0,3.5
Yemen Mokha Matari,https://www.sweetmarias.com/yemen-mokha-matari-7889.html,"Always a top Yemeni coffee, this year's lot is as complex as they come. Notes of barley malt, toasted grains, rustic cocoa, dried apricot, anise, cumin, Middle Eastern spice mix, tobacco, and more! City to Vienna. Good for espresso.",11.15,Dry Process (Natural),88.4,Heirloom Types,Yes,Bani Matari,Dry Process (Natural),Patio and Raised Bed Sun-Dried,April 2024 Arrival,100,32 KG,Ecotact Liner,Heirloom Cultivars,Grade 1,"1+ d/300gr, 14+ screen - I'm grading conservatively to temper expectations. It's a really nice sort for Yemen, however you may see a few quakers, broken beans and minor bug holes.",City to Vienna,Farm Gate,"Matari is one of the few coffees from the growing regions surrounding the high-altitudes of Sana'a that was traditionally kept separate. All others were mixed to form ""Sana'ani coffee"" with decidedly mixed outcomes. But coffee in Bani Matari is a bit different, tall old-growth trees that appear like a fruit orchard than a typical coffee farm (well, NO coffee production in Yemen looks like a coffee farm anywhere else!). This lot was secured through Fatoum Muslot, who took over the family coffee business started by her father back in the 1950s. They've long exported Yemeni coffee, and since Fatoum has started managing the group, she has worked to implement practices such as more stringent hand sorting and using Ecotact storage bags in order to directly affect their coffee's overall quality. We're quite pleased with the physical condition of both coffees we bought from Fatoum this year, the lack of underripe coffee and shipping in Ecotact liners has really benefitted the resulting cup quality. During their long history in the coffee trade they've forged longstanding connections with farming groups in several growing regions, and because of these connections, are able to buy coffee in a more direct way. This lot is made up of coffee from roughly 100 farmers in Bani Matari, who on average have 1000 trees planted on less than 1/2 hectare of land. Altitude is extremely high, starting around 2000 meters and stretching upwards of 2400 meters above sea level. Read our interview with Fatoum Mouslot from 2020.",15.202933,43.987712,8.2,8.6,0,8.8,9.0,8.0,8.5,7.8,9.7,8.0,0.0,0.0,3.5,1.0,2.5,0.0,1.0,4.0,2.0,3.0,2.0,4.5
Yemen Mokha Peaberry,https://www.sweetmarias.com/yemen-mokha-peaberry-7893.html,"Middle roasts show nice roast intensity, interspersed with hints of pumpkin bread, hazelnut chocolate, sesame cookie, tobacco, whole spices, burnt marshmallow, and aromatic wood. City+ to Full City+. Good for espresso.",10.50,Dry Process (Natural),87.5,Heirloom Types,Yes,Yemen,Dry Process (Natural),Patio Sun-Dried,April 2024 Arrival,50,32 KG,GrainPro Liner,Heirloom Cultivars,Grade 1,"1 d/300gr, 14-15 Peaberry Screen - grading conservatively, and surprisingly clean for Yemeni coffee!",City+ to Full City+,Farm Gate,"This year's buying was focused around coffee from four regions, Matari, Sharqui Haraz, Hajjah, and Hiwari, and this peaberry lot is a blend from all four areas. Peaberries occur naturally on every coffee tree, but in very small amount (typically < 5% of the harvest). What happens is, one of two embryos inside the coffee cherry fails to germinate, leaving the other behind to take on a rounded shape as it matures. They tend to be separated out from the regular ""flats"" during the dry milling process where coffee is separated by size using large mechanized screen sorters. At the end of our buying, Fatoum Muslot, who oversees operations at this source, asked us if we wanted to buy the peaberries that were separated out from each of the lots we purchased. What that means is, this peaberry lot is the same coffee as the others on our site, just the small peaberry beans that were sorted out from the rest. That fact really makes it an interesting counterpoint to any of the others we have. This lot was secured through Fatoum, who took over the Pearl of Tehama export business started by her father back in the 1950s. They've long exported Yemeni coffee, and since Fatoum has started managing the group, she has worked to implement practices such as more stringent hand sorting and using Ecotact storage bags in order to directly affect their coffee's overall quality. We're quite pleased with the physical condition of both coffees we bought from Fatoum this year, the lack of underripe coffee and shipping in Ecotact liners has really benefitted the resulting cup quality. During their long history in the coffee trade they've forged longstanding connections with farming groups in several growing regions, and because of these connections, are able to buy coffee in a more direct way. Altitude is extremely high in these areas, starting around 2000 meters and stretching upwards of 2400 meters above sea level. This It's been a few years now since we've picked up Yemeni coffee, not necessarily by choice, but mainly due to the difficulties exporting from a country at war. The situation there is still quite dire, and I'm amazed that anything is making it out of the country. Read our interview with Fatoum Mouslot from 2020.",15.202933,43.987712,8.0,8.4,0,8.5,9.0,8.0,8.3,7.3,9.5,8.0,0.0,2.0,2.5,3.0,0.5,0.0,0.0,4.0,2.5,3.0,2.0,4.0
Yemen Sharqui Haraz,https://www.sweetmarias.com/yemen-sharqui-haraz-7890.html,"Middle roasts develop a bodied coffee, bittersweet flavors expand to notes of Brazil nut, goat milk caramels, malted grains, cocoa-dusted pumpkin seeds, rhubarb, dried date, and tobacco. City+ to French. Good for espresso.",10.95,Dry Process (Natural),87.5,Heirloom Types,Yes,Al Sharqui Haraz,Dry Process (Natural),Patio Sun-Dried,April 2024 Arrival,100,32 KG,Ecotact Liner,Heirloom Varietals,Grade 1,"1 d/300gr, 14-17 Screen - grading conservatively, and surprisingly clean for Yemeni coffee!",City+ to French,Farm Gate,"Sharqui Haraz, (which we've also referred to as ""Harasi"", and ""Bani Haraz""), is a coffee from the sub district of Al Sharqui, adjacent to Ismaili, and in fact they merge to some degree. If you travel west on the road from the capital Sana'a, toward Hodeidah on the Red Sea, you will pass quite close to Haraz, as I did when traveling to Yemen a several years back. I visited an amazing zone within Haraz with towering, ancient stone villages, like castles precariously perched atop steep precipice. It was incredibly dramatic. All the coffee here is grown on terraces, since little land exists that is flat, except for the lowland deserts. The coffee is hauled up remarkably steep slopes, carried in small amounts, most often by donkey. This lot was secured through Fatoum Muslot, who took over the family coffee business started by her father back in the 1950s. They've long exported Yemeni coffee, and since Fatoum has started managing the operations, she has worked to implement quality-focused practices such as more stringent hand sorting and using Ecotact storage bags in order to directly affect their coffee's overall quality. Roughly 140 farmers are contributing to this regional blend, nd the altitude of the farms hover around 2200 meters above sea level. We're quite pleased with the physical condition of both coffees we bought from Fatoum this year, and shipping in Ecotact has really helped with the long transit times from Yemen. Read our interview with Fatoum Mouslot from 2020.",15.023221,43.661161,8.0,8.5,0,8.7,9.5,7.8,8.3,7.5,9.5,8.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,2.0,3.0,2.0,4.5
India Pearl Mountain Estate Peaberry,https://www.sweetmarias.com/india-pearl-mountain-estate-peaberry-7901.html,"The cup sweetness shows a nice level of complexity, moderately intense, with notes of praline nuts, brown sugar, creamy hazelnut, dark cocoa, and a pinch of cinnamon spice. City+ to Full City+. Good for espresso.",7.20,Wet Process (Washed),87.3,"Bourbon Types, Modern Hybrids",No,"Bababudangiri, Karnataka, Western Ghats",Wet Process (Washed),Patio Sun-Dried,June 2024 Arrival,35,60 KG,GrainPro Liner,"Kent, S-795",Peaberry,".2 d/300gr, Peaberry 15 Screen",City+ to Full City+,N/A,"Wet-process India Arabica coffees are very mild coffees when they are correctly picked and processed. But much of the coffee is grown at relatively low altitudes and poorly processed and prepared. There is a lot of regular commercial grade India Arabica. Even when well done, the coffees can be ""softish"" physically and in flavor. Soft coffees from low altitudes are more difficult to roast (especially in small home roasters I believe). The result can be ashy flavors, and greater risk of scorching or tipping the coffee. That's why I have been very impressed with this new crop arrival of Pearl Mountain Peaberry. This coffee plantation was planted in 1920 by Shivappaiya Patre, who cultivated the estate and called it Ratnagiri which when translated to English means Pearl Mountain. This estate has now been passed on to the 3rd generation of Estate owners, Rohith and Ashok Patre. The coffee is planted between 1200 and 1500 meters in a zone of the Western Ghat mountains that gets consistently heavy rainfall. The coffee on the farm is interplanted with pepper vines (which are grown on the canopy of large shade trees) and cardamom groves. The Patre family is extremely quality conscious. The coffee is grown under shade trees midst pepper vines and cardamom groves. The carefully picked cherries are sorted prior to pulping, fermented between 42 and 72 hours and hand-washed in water from clear mountain streams. The mild vibrance and clean cup taste really sets this Indian Arabica coffee apart from the mirky, unclean flavors we find often in India wet-process coffees, which are generally more commercial-level coffees.",13.422698,75.770537,8.3,8.5,0,8.5,9.0,8.3,8.4,8.5,8.3,9.0,0.0,0.0,3.0,2.0,0.5,0.0,0.0,4.0,3.0,0.0,3.0,4.0
